Expression	Value	Location	Type	
encoded_buffer	<array>"{!²(.ú.tü_£þ66¿.\t¦`¹@»*È<Aˆ43ç‘oÍÆHêOÉÂ.ÀJ£ê…°z¨àT.ÐPt"	0x100243D8	char[10240]	
[0]	'{' (0x7B)	0x100243D8	char	
[1]	'!' (0x21)	0x100243D9	char	
[2]	'²' (0xB2)	0x100243DA	char	
[3]	'(' (0x28)	0x100243DB	char	
[4]	'.' (0x1A)	0x100243DC	char	
[5]	'ú' (0xFA)	0x100243DD	char	
[6]	'.' (0x05)	0x100243DE	char	
[7]	't' (0x74)	0x100243DF	char	
[8]	'ü' (0xFC)	0x100243E0	char	
[9]	'_' (0x5F)	0x100243E1	char	
[10]	'£' (0xA3)	0x100243E2	char	
[11]	'þ' (0xFE)	0x100243E3	char	
[12]	'6' (0x36)	0x100243E4	char	
[13]	'6' (0x36)	0x100243E5	char	
[14]	'¿' (0xBF)	0x100243E6	char	
[15]	'.' (0x19)	0x100243E7	char	
[16]	'' (0x9D)	0x100243E8	char	
[17]	'\t' (0x09)	0x100243E9	char	
[18]	'¦' (0xA6)	0x100243EA	char	
[19]	'`' (0x60)	0x100243EB	char	
[20]	'¹' (0xB9)	0x100243EC	char	
[21]	'@' (0x40)	0x100243ED	char	
[22]	'»' (0xBB)	0x100243EE	char	
[23]	'*' (0x2A)	0x100243EF	char	
[24]	'È' (0xC8)	0x100243F0	char	
[25]	'<' (0x3C)	0x100243F1	char	
[26]	'A' (0x41)	0x100243F2	char	
[27]	'ˆ' (0x88)	0x100243F3	char	
[28]	'4' (0x34)	0x100243F4	char	
[29]	'3' (0x33)	0x100243F5	char	
[30]	'ç' (0xE7)	0x100243F6	char	
[31]	'‘' (0x91)	0x100243F7	char	
[32]	'o' (0x6F)	0x100243F8	char	
[33]	'Í' (0xCD)	0x100243F9	char	
[34]	'Æ' (0xC6)	0x100243FA	char	
[35]	'H' (0x48)	0x100243FB	char	
[36]	'ê' (0xEA)	0x100243FC	char	
[37]	'O' (0x4F)	0x100243FD	char	
[38]	'É' (0xC9)	0x100243FE	char	
[39]	'Â' (0xC2)	0x100243FF	char	
[40]	'.' (0x14)	0x10024400	char	
[41]	'À' (0xC0)	0x10024401	char	
[42]	'J' (0x4A)	0x10024402	char	
[43]	'£' (0xA3)	0x10024403	char	
[44]	'ê' (0xEA)	0x10024404	char	
[45]	'…' (0x85)	0x10024405	char	
[46]	'°' (0xB0)	0x10024406	char	
[47]	'z' (0x7A)	0x10024407	char	
[48]	'¨' (0xA8)	0x10024408	char	
[49]	'à' (0xE0)	0x10024409	char	
[50]	'T' (0x54)	0x1002440A	char	
[51]	'.' (0x7F)	0x1002440B	char	
[52]	'Ð' (0xD0)	0x1002440C	char	
[53]	'P' (0x50)	0x1002440D	char	
[54]	't' (0x74)	0x1002440E	char	
[55]	'\0' (0x00)	0x1002440F	char	
[56]	'H' (0x48)	0x10024410	char	
[57]	'¤' (0xA4)	0x10024411	char	
[58]	'}' (0x7D)	0x10024412	char	
[59]	'Œ' (0x8C)	0x10024413	char	
[60]	'‘' (0x91)	0x10024414	char	
[61]	'y' (0x79)	0x10024415	char	
[62]	'£' (0xA3)	0x10024416	char	
